Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#TH10010,customer_10@example.com,paid,2025-07-29 23:56:51 +0500,fulfilled,2025-07-25 00:22:08 +0500,yes,PKR,3999.0,0.0,0.0,3999.0,,0.0,Delivery Charges,2025-07-24 15:38:00+00:00,1,5-Tier Coat and Shoe Rack with Storage Shelf & 8 Hooks – Freestanding Organizer for Entryway & Bedroom,3999.0,7999.0,TH163,True,False,fulfilled,Customer 10,XXXXXXXXXX,XXXXXXXXXX,,,Karachi,'00000,,PK,XXXXXXXXXX,Customer 10,XXXXXXXXXX,XXXXXXXXXX,,,Karachi,'00000,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH13726.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6454902784220.0,JD Delivery,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rQM3hirL0t0d9MjZ3WAxw8COr + #TH13726.2,,,rQM3hirL0t0d9MjZ3WAxw8COr + #TH13726.2
#TH10011,customer_11@example.com,paid,2026-01-25 01:07:57 +0500,fulfilled,2026-01-15 00:19:08 +0500,no,PKR,2299.0,0.0,0.0,2299.0,,0.0,Delivery Charges,2026-01-14 17:16:57+00:00,1,3 in 1 Handheld Vacuum Cleaner,2299.0,4599.0,TH121,True,False,fulfilled,Customer 11,XXXXXXXXXX,XXXXXXXXXX,House E81,,Daharki Mirpur Mathelo,,,PK,XXXXXXXXXX,Customer 11,XXXXXXXXXX,XXXXXXXXXX,House E81,,Daharki Mirpur Mathelo,,,PK,XXXXXXXXXX,Can,,,Cash on Delivery (COD),#TH20510.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6800742842588.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rfNjWSQnPp5y2mAlmWgLilCtw + #TH20510.1,,,rfNjWSQnPp5y2mAlmWgLilCtw + #TH20510.1
#TH10012,customer_12@example.com,paid,2026-03-06 02:12:27 +0500,fulfilled,2026-03-02 02:15:11 +0500,no,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2026-02-28 07:15:37+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 12,XXXXXXXXXX,XXXXXXXXXX,Malircantt,,Karachi,,,PK,XXXXXXXXXX,Customer 12,XXXXXXXXXX,XXXXXXXXXX,Malircantt,,Karachi,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH22944.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6888446132444.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rGys7WI7F5WXDw4ElbZToE8Gf + #TH22944.1,,,rGys7WI7F5WXDw4ElbZToE8Gf + #TH22944.1
#TH10013,customer_13@example.com,paid,2025-07-20 03:20:25 +0500,fulfilled,2025-07-09 00:16:14 +0500,no,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2025-07-08 05:34:09+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 13,XXXXXXXXXX,XXXXXXXXXX,,,Islamabad,,,PK,XXXXXXXXXX,Customer 13,XXXXXXXXXX,XXXXXXXXXX,,,Islamabad,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH12962.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6432940294364.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rVNBvft54sFgSh2IyOMAfGOQu + #TH12962.2,,,rVNBvft54sFgSh2IyOMAfGOQu + #TH12962.2
#TH10014,customer_14@example.com,paid,2025-09-14 01:39:08 +0500,fulfilled,2025-09-01 00:13:33 +0500,no,PKR,5099.0,0.0,0.0,5099.0,,0.0,Free Delivery,2025-08-30 21:11:09+00:00,1,Heavy-Duty Multi-Layer Shoe Cabinet Organizer - 7 - Layer,5099.0,10199.0,TH168,True,False,fulfilled,Customer 14,XXXXXXXXXX,XXXXXXXXXX,Afghanabad no 2 street no 3 faisalabad,Faisalabad,Faisalabad punjab,'2149,,PK,XXXXXXXXXX,Customer 14,XXXXXXXXXX,XXXXXXXXXX,Afghanabad no 2 street no 3 faisalabad,Faisalabad,Faisalabad punjab,'2149,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH15366.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6511791833308.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,raJ1cJ64WbQhW6bmW9xdAzWu6 + #TH15366.2,,,raJ1cJ64WbQhW6bmW9xdAzWu6 + #TH15366.2
#TH10015,customer_15@example.com,paid,2026-04-12 16:13:09 +0500,fulfilled,2026-04-02 00:13:33 +0500,yes,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2026-04-01 13:19:32+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 15,XXXXXXXXXX,XXXXXXXXXX,,,Rawalpindi,,,PK,XXXXXXXXXX,Customer 15,XXXXXXXXXX,XXXXXXXXXX,,,Rawalpindi,,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH25025.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6957046333660.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,r2fY8GSygGY610dJYpj9CTH06 + #TH25025.1,,,r2fY8GSygGY610dJYpj9CTH06 + #TH25025.1
#TH10016,customer_16@example.com,paid,2026-05-30 23:34:47 +0500,fulfilled,2026-05-22 01:44:56 +0500,no,PKR,2999.0,250.0,0.0,3249.0,,0.0,Shipping Charges,2026-05-21 08:45:23+00:00,1,Arctic Air Turbo Chill Evaporative Cooler - Portable Personal Fan with HydroChill,2999.0,5999.0,TH257,True,False,fulfilled,Customer 16,XXXXXXXXXX,XXXXXXXXXX,,,Karachi,'75100,,PK,XXXXXXXXXX,Customer 16,XXXXXXXXXX,XXXXXXXXXX,,,Karachi,'75100,,PK,XXXXXXXXXX,Ct,,,Cash on Delivery (COD),#TH27530.1,0.0,TRENDHUB PAKISTAN,0.0,,,,7063520837852.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rpmVSJRcR2wk8tU9sjCQhb0M2 + #TH27530.1,,,rpmVSJRcR2wk8tU9sjCQhb0M2 + #TH27530.1
#TH10017,customer_17@example.com,paid,2026-05-16 14:39:29 +0500,fulfilled,2026-05-09 00:38:00 +0500,yes,PKR,2398.0,0.0,0.0,2398.0,,0.0,Delivery Charges,2026-05-08 11:20:58+00:00,2,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 17,XXXXXXXXXX,XXXXXXXXXX,77 B2 gulberg 3,,Lahore,,,PK,XXXXXXXXXX,Customer 17,XXXXXXXXXX,XXXXXXXXXX,77 B2 gulberg 3,,Lahore,,,PK,XXXXXXXXXX,Cy,,,Cash on Delivery (COD),#TH26866.1,0.0,TRENDHUB PAKISTAN,0.0,,,,7036291252444.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rfryeaZHUdbZY4RbWB0NYwlZ0 + #TH26866.1,,,rfryeaZHUdbZY4RbWB0NYwlZ0 + #TH26866.1
#TH10018,customer_18@example.com,paid,2025-07-20 03:22:54 +0500,fulfilled,2025-07-11 03:09:45 +0500,yes,PKR,1999.0,0.0,0.0,1999.0,,0.0,Delivery Charges,2025-07-09 10:43:22+00:00,1,Portable Resistance Band Sit-Up Trainer – Full Body Workout,1999.0,3999.0,TH162,True,False,fulfilled,Customer 18,XXXXXXXXXX,XXXXXXXXXX,Jamia masjid,,Rawalpindi,'44000,,PK,XXXXXXXXXX,Customer 18,XXXXXXXXXX,XXXXXXXXXX,Jamia masjid,,Rawalpindi,'44000,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH13017.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6434458534108.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,raPKDH4mDkhIZIu8sXJxWACGQ + #TH13017.2,,,raPKDH4mDkhIZIu8sXJxWACGQ + #TH13017.2
#TH10019,customer_19@example.com,paid,2025-06-15 17:53:01 +0500,fulfilled,2025-06-09 14:57:16 +0500,yes,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2025-06-04 09:36:06+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 19,XXXXXXXXXX,XXXXXXXXXX,Opposite millennium mall,,Karachi,,,PK,XXXXXXXXXX,Customer 19,XXXXXXXXXX,XXXXXXXXXX,Opposite millennium mall,,Karachi,,,PK,XXXXXXXXXX,Order has been shipped via PostEx with Tracking 23150530008815. Confirm,"hxs_courier_name: PostEx
hxs_courier_tracking: 23150530008815
hxs_courier_url: https://postex.pk/tracking?cn=23150530008815
hxs_courier_label: https://merchant.postex.pk/get-invoice?trackingNumbers=23150530008815",,Cash on Delivery (COD),#TH11584.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6382344110300.0,PostEx,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,r4kG6Ah05CkaaW5YtdVahTvjB + #TH11584.2,,,r4kG6Ah05CkaaW5YtdVahTvjB + #TH11584.2
#TH10020,customer_20@example.com,paid,2026-01-10 19:51:07 +0500,fulfilled,2025-12-31 01:34:52 +0500,yes,PKR,2199.0,0.0,0.0,2199.0,,0.0,Delivery Charges,2025-12-30 11:30:23+00:00,1,Safe Mandoline Slicer - Multi Vegetable Chopper - Multi Vegetable Chopper,2199.0,4799.0,TH72,True,False,fulfilled,Customer 20,XXXXXXXXXX,XXXXXXXXXX,Near -,,Sahiwal,,,PK,XXXXXXXXXX,Customer 20,XXXXXXXXXX,XXXXXXXXXX,Near -,,Sahiwal,,,PK,XXXXXXXXXX,Come,,,Cash on Delivery (COD),#TH19744.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6772275478748.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rn3iJXth1KjDaipi9xLifQwli + #TH19744.1,,,rn3iJXth1KjDaipi9xLifQwli + #TH19744.1
#TH10021,customer_21@example.com,paid,2026-05-23 18:00:33 +0500,fulfilled,2026-05-12 00:22:19 +0500,yes,PKR,699.0,250.0,0.0,949.0,,0.0,Shipping Charges,2026-05-09 05:34:01+00:00,1,Kitchen Sink Splash Guard – Extra Wide Water Protection - Pack of 1,699.0,1399.0,TH232,True,False,fulfilled,Customer 21,XXXXXXXXXX,XXXXXXXXXX,,,Sargodha,,,PK,XXXXXXXXXX,Customer 21,XXXXXXXXXX,XXXXXXXXXX,,,Sargodha,,,PK,XXXXXXXXXX,Can,,,Cash on Delivery (COD),#TH26903.1,0.0,TRENDHUB PAKISTAN,0.0,,,,7038570496220.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rcghtcVBMOY0JZgQBF6mB1sWg + #TH26903.1,,,rcghtcVBMOY0JZgQBF6mB1sWg + #TH26903.1
#TH10022,customer_22@example.com,paid,2026-04-25 02:49:49 +0500,fulfilled,2026-04-18 00:46:23 +0500,yes,PKR,1199.0,250.0,0.0,1449.0,,0.0,Shipping Charges,2026-04-17 05:11:45+00:00,1,Kitchen Sink Splash Guard – Extra Wide Water Protection - Pack of 2,1199.0,2399.0,TH233,True,False,fulfilled,Customer 22,XXXXXXXXXX,XXXXXXXXXX,,,Peshawar,'25000,,PK,XXXXXXXXXX,Customer 22,XXXXXXXXXX,XXXXXXXXXX,,,Peshawar,'25000,,PK,XXXXXXXXXX,Cou,,,Cash on Delivery (COD),#TH25840.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6992167141596.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rjjdnMaxvRaacSdpq04u6gP8W + #TH25840.1,,,rjjdnMaxvRaacSdpq04u6gP8W + #TH25840.1
#TH10023,customer_23@example.com,paid,2026-01-10 20:01:40 +0500,fulfilled,2026-01-05 00:23:54 +0500,yes,PKR,4599.0,0.0,0.0,4599.0,,0.0,Delivery Charges,2026-01-04 09:41:32+00:00,1,Metal Shoe Rack with Coat Hooks – Dustproof Entryway Shoe Cabinet & Organizer - 5 - Layer,4599.0,7999.0,TH189,True,False,fulfilled,Customer 23,XXXXXXXXXX,XXXXXXXXXX,,,Islamabad,,,PK,XXXXXXXXXX,Customer 23,XXXXXXXXXX,XXXXXXXXXX,,,Islamabad,,,PK,XXXXXXXXXX,Cy,,,Cash on Delivery (COD),#TH19981.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6780978069724.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,r8RAGsMdqpflyXIhWLhXB23ZA + #TH19981.1,,,r8RAGsMdqpflyXIhWLhXB23ZA + #TH19981.1
#TH10024,customer_24@example.com,paid,2026-01-31 21:51:12 +0500,fulfilled,2026-01-21 00:22:09 +0500,yes,PKR,1999.0,0.0,0.0,1999.0,,0.0,Delivery Charges,2026-01-20 10:17:06+00:00,1,Portable Resistance Band Sit-Up Trainer – Full Body Workout,1999.0,3999.0,TH162,True,False,fulfilled,Customer 24,XXXXXXXXXX,XXXXXXXXXX,,,Larkana,'77150,,PK,XXXXXXXXXX,Customer 24,XXXXXXXXXX,XXXXXXXXXX,,,Larkana,'77150,,PK,XXXXXXXXXX,Very,,,Cash on Delivery (COD),#TH20789.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6810507870428.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rig8tXLe0QtbqEtpLXF1AFunM + #TH20789.1,,,rig8tXLe0QtbqEtpLXF1AFunM + #TH20789.1
#TH10025,customer_25@example.com,paid,2025-07-26 14:12:57 +0500,fulfilled,2025-07-17 00:50:54 +0500,yes,PKR,1999.0,0.0,0.0,1999.0,,0.0,Delivery Charges,2025-07-16 09:42:59+00:00,1,Portable Resistance Band Sit-Up Trainer – Full Body Workout,1999.0,3999.0,TH162,True,False,fulfilled,Customer 25,XXXXXXXXXX,XXXXXXXXXX,,,D.G. KHAN,'03322,,PK,XXXXXXXXXX,Customer 25,XXXXXXXXXX,XXXXXXXXXX,,,D.G. KHAN,'03322,,PK,XXXXXXXXXX,Confirm,,,Cash on Delivery (COD),#TH13313.2,0.0,TRENDHUB PAKISTAN,0.0,,,,6443690393820.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,r2LbUdkJmdQljW8fDH1Nt3GUQ + #TH13313.2,,,r2LbUdkJmdQljW8fDH1Nt3GUQ + #TH13313.2
#TH10026,customer_26@example.com,paid,2025-10-19 17:43:19 +0500,fulfilled,2025-10-07 01:50:01 +0500,yes,PKR,1199.0,0.0,0.0,1199.0,,0.0,Delivery Charges,2025-10-04 13:38:17+00:00,1,Sink Sponge Holder - Faucet Rack,1199.0,2399.0,TH61,True,False,fulfilled,Customer 26,XXXXXXXXXX,XXXXXXXXXX,,,Lahore,,,PK,XXXXXXXXXX,Customer 26,XXXXXXXXXX,XXXXXXXXXX,,,Lahore,,,PK,XXXXXXXXXX,confirmed,,,Cash on Delivery (COD),#TH16716.1,0.0,TRENDHUB PAKISTAN,0.0,,,,6565117690076.0,Ship NOC,Low,web,0.0,GST 16%,0.0,,,,,,,,,XXXXXXXXXX,,,,,rvsKlgN1e9JwyUzLfEycQZXLE + #TH16716.1,,,rvsKlgN1e9JwyUzLfEycQZXLE + #TH16716.1
